Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
2.565000E-8	-1.508595E-2
2.570000E-8	-1.498317E-2
2.575000E-8	-1.493350E-2
2.580000E-8	-1.487183E-2
2.585000E-8	-1.481530E-2
2.590000E-8	-1.482044E-2
2.595000E-8	-1.481702E-2
2.600000E-8	-1.486841E-2
2.605000E-8	-1.490780E-2
2.610000E-8	-1.499003E-2
2.615000E-8	-1.507739E-2
2.620000E-8	-1.518016E-2
2.625000E-8	-1.526924E-2
2.630000E-8	-1.538572E-2
2.635000E-8	-1.551933E-2
2.640000E-8	-1.563752E-2
2.645000E-8	-1.574715E-2
2.650000E-8	-1.585335E-2
2.655000E-8	-1.591502E-2
2.660000E-8	-1.599381E-2
2.665000E-8	-1.603150E-2
2.670000E-8	-1.607946E-2
2.675000E-8	-1.609317E-2
2.680000E-8	-1.607261E-2
2.685000E-8	-1.607090E-2
2.690000E-8	-1.604863E-2
2.695000E-8	-1.601266E-2
2.700000E-8	-1.598182E-2
2.705000E-8	-1.598011E-2
2.710000E-8	-1.596641E-2
2.715000E-8	-1.592701E-2
2.720000E-8	-1.590303E-2
2.725000E-8	-1.580882E-2
2.730000E-8	-1.570946E-2
2.735000E-8	-1.561183E-2
2.740000E-8	-1.549363E-2
2.745000E-8	-1.540113E-2
2.750000E-8	-1.525896E-2
2.755000E-8	-1.509452E-2
2.760000E-8	-1.494720E-2
2.765000E-8	-1.481017E-2
2.770000E-8	-1.466628E-2
2.775000E-8	-1.456350E-2
2.780000E-8	-1.447100E-2
2.785000E-8	-1.436480E-2
2.790000E-8	-1.432540E-2
2.795000E-8	-1.426887E-2
2.800000E-8	-1.422262E-2
2.805000E-8	-1.419350E-2
2.810000E-8	-1.420207E-2
2.815000E-8	-1.420378E-2
2.820000E-8	-1.425860E-2
2.825000E-8	-1.430998E-2
2.830000E-8	-1.434253E-2
2.835000E-8	-1.441790E-2
2.840000E-8	-1.450184E-2
2.845000E-8	-1.457720E-2
2.850000E-8	-1.466628E-2
2.855000E-8	-1.472452E-2
2.860000E-8	-1.475878E-2
2.865000E-8	-1.481188E-2
2.870000E-8	-1.481359E-2
2.875000E-8	-1.478105E-2
2.880000E-8	-1.474336E-2
2.885000E-8	-1.472623E-2
2.890000E-8	-1.468512E-2
2.895000E-8	-1.467998E-2
2.900000E-8	-1.469711E-2
2.905000E-8	-1.470225E-2
2.910000E-8	-1.472623E-2
2.915000E-8	-1.478105E-2
2.920000E-8	-1.482387E-2
2.925000E-8	-1.484956E-2
2.930000E-8	-1.488382E-2
2.935000E-8	-1.488211E-2
2.940000E-8	-1.484443E-2
2.945000E-8	-1.478105E-2
2.950000E-8	-1.465943E-2
2.955000E-8	-1.455665E-2
2.960000E-8	-1.442818E-2
2.965000E-8	-1.428600E-2
2.970000E-8	-1.416952E-2
2.975000E-8	-1.406675E-2
2.980000E-8	-1.395712E-2
2.985000E-8	-1.388689E-2
2.990000E-8	-1.384235E-2
2.995000E-8	-1.379439E-2
3.000000E-8	-1.377212E-2
3.005000E-8	-1.376013E-2
3.010000E-8	-1.373272E-2
3.015000E-8	-1.374300E-2
3.020000E-8	-1.382351E-2
3.025000E-8	-1.387147E-2
3.030000E-8	-1.392286E-2
3.035000E-8	-1.403591E-2
3.040000E-8	-1.416781E-2
3.045000E-8	-1.428943E-2
3.050000E-8	-1.441447E-2
3.055000E-8	-1.452924E-2
3.060000E-8	-1.465086E-2
3.065000E-8	-1.474165E-2
3.070000E-8	-1.480503E-2
3.075000E-8	-1.483415E-2
3.080000E-8	-1.484443E-2
3.085000E-8	-1.482044E-2
3.090000E-8	-1.481530E-2
3.095000E-8	-1.483929E-2
3.100000E-8	-1.487868E-2
3.105000E-8	-1.492151E-2
3.110000E-8	-1.498146E-2
3.115000E-8	-1.504141E-2
3.120000E-8	-1.512192E-2
3.125000E-8	-1.519901E-2
3.130000E-8	-1.525725E-2
3.135000E-8	-1.534461E-2
3.140000E-8	-1.541312E-2
3.145000E-8	-1.543882E-2
3.150000E-8	-1.546451E-2
3.155000E-8	-1.548164E-2
3.160000E-8	-1.549021E-2
3.165000E-8	-1.546965E-2
3.170000E-8	-1.541141E-2
3.175000E-8	-1.531720E-2
3.180000E-8	-1.521785E-2
3.185000E-8	-1.515276E-2
3.190000E-8	-1.506540E-2
3.195000E-8	-1.500544E-2
3.200000E-8	-1.497632E-2
